id,name,englishName,level,implementation,declaredTarget,status,expectedSemantics,expectedCapabilities,semanticGaps,unprovenCapabilities,runtimeSpecializations,runtimeReferences,directTests
"acid-arrow","强酸箭","Acid Arrow","2","core-transaction","full","verified-full","spell-attack | damage | turn-trigger | slot-scaling","","","","","src/pages/maps/spellSettlementCoordinator.ts | src/rulesets/dnd5e/headlessCombatEngine.ts","src/lib/dnd5eActionIcons.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/spellAction.test.ts"
"acid-splash","酸液飞溅","Acid Splash","0","core-transaction","full","verified-full","saving-throw | damage","","","","","src/pages/maps/spellSettlementCoordinator.ts","src/lib/combatPresentation.test.ts | src/lib/dnd5eActionIcons.test.ts | src/lib/sharedServerCore.test.ts | src/pages/maps/spellSettlementCoordinator.test.ts | src/rulesets/dnd5e/eldritchKnight.test.ts | src/rulesets/dnd5e/spellAction.test.ts"
"aid","援助术","Aid","2","audited-activity","full","verified-full","slot-scaling","max-hit-points | slot-scaling","","","","","src/rulesets/dnd5e/pluginSpellTransaction.test.ts"
"alarm","警报术","Alarm","1","audited-activity","full","verified-full","area | turn-trigger","persistent-area | event-trigger | notification","","","","","src/components/dm/dmCampaignStoryModel.test.ts | src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts | src/rulesets/dnd5e/pluginAreas.test.ts | src/rulesets/dnd5e/racialAutomation.test.ts"
"alter-self","变身术","Alter Self","2","audited-activity","partial","partial","damage | concentration | movement","mode-choice | stat-transform | illusory-content","原文要求 concentration，Activity 及专用运行时均无完整证据 | 原文要求 movement，Activity 及专用运行时均无完整证据","mode-choice","","","src/lib/dnd5eActionIcons.test.ts"
"animal-friendship","化兽为友","Animal Friendship","1","audited-activity","full","verified-full","saving-throw | condition","saving-throw | typed-target | condition-lifecycle","","","","src/rulesets/dnd5e/spellVisibility.ts","src/lib/dnd5eActionIcons.test.ts"
"animal-messenger","动物信使","Animal Messenger","2","audited-activity","partial","partial","slot-scaling","timed-delivery | semantic-destination | npc-response","","","slot-scaling","src/rulesets/dnd5e/spellVisibility.ts","src/lib/dnd5eActionIcons.test.ts"
"animal-shapes","动物形态","Animal Shapes","8","audited-activity","full","verified-full","healing | concentration","stat-transform | form-catalog | hit-point-handoff","","","form-catalog | hit-point-handoff","src/rulesets/dnd5e/activities/dnd5eActivityContracts.ts | src/rulesets/dnd5e/activities/dnd5eActivityExecutor.ts | src/rulesets/dnd5e/activities/dnd5eActivityValidation.ts | src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/spellVisibility.ts","src/rulesets/dnd5e/activities/dnd5eActivityHeadlessAuthorityBridge.test.ts"
"animate-dead","操纵死尸","Animate Dead","3","audited-activity","partial","partial","sustained-control | slot-scaling","summon-companion | material-targeting | dm-creature-choice","原文要求 sustained-control，Activity 及专用运行时均无完整证据 | 原文要求 slot-scaling，Activity 及专用运行时均无完整证据","","","","src/lib/dnd5eActionIcons.test.ts"
"animate-objects","活化物件","Animate Objects","5","audited-activity","partial","partial","concentration | movement | slot-scaling","summon-companion | world-object | dm-damage-type","原文要求 concentration，Activity 及专用运行时均无完整证据 | 原文要求 movement，Activity 及专用运行时均无完整证据 | 原文要求 slot-scaling，Activity 及专用运行时均无完整证据","world-object","","",""
"antilife-shell","防活物护罩","Antilife Shell","5","audited-activity","full","verified-full","concentration | area","persistent-area | typed-target | movement-blocking","","","","","src/lib/mapGeometry.test.ts | src/rulesets/dnd5e/activities/dnd5eCoreSpellActivities.test.ts | src/rulesets/dnd5e/pluginAreas.test.ts"
"antimagic-field","反魔法力场","Antimagic Field","8","audited-activity","partial","partial","concentration | area | condition | movement","persistent-area | magic-suppression | source-anchoring | movement-gap","原文要求 condition，Activity 及专用运行时均无完整证据","","","","src/rulesets/dnd5e/activeEffects.test.ts | src/rulesets/dnd5e/mapBridge.test.ts"
