"ID","名称","分类","魔法类别","声明自动化","实际路径","法术委托","动作数","资源池数"
"srd-5.1:equipment:dnd5e-longsword","长剑","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-greataxe","巨斧","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-rapier","刺剑","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-mace","硬头锤","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-scimitar","弯刀","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-shortsword","短剑","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-quarterstaff","长棍","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-light-crossbow","轻弩","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-longbow","长弓","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-dagger","匕首","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-club","短棒","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-greatclub","大棒","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-handaxe","手斧","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-javelin","标枪","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-light-hammer","轻锤","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-sickle","镰刀","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-spear","矛","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-dart","飞镖","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-shortbow","短弓","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-sling","投石索","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-warhammer","战锤","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-greatsword","巨剑","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-battleaxe","战斧","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-flail","连枷","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-glaive","长柄刀","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-halberd","戟","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-lance","骑枪","equipment","","","装备或被动数值","","0","0"
"srd-5.1:equipment:dnd5e-maul","巨锤","equipment","","","装备或被动数值","","0","0"
