monsterId,monster,slug,section,actionId,action,kind,complexity,declaredAutomation,structuralAutomation,status,issues,directTests
"srd-5.1:aboleth","底栖魔鱼","aboleth","actions","multiattack","多重攻击","multiattack","complex","dm-adjudication","dm-adjudication","manual","","src/rulesets/dnd5e/combatSimulation.test.ts | src/rulesets/dnd5e/monsterAttackAction.test.ts | src/rulesets/dnd5e/monsterResourceActions.test.ts | src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:aboleth","底栖魔鱼","aboleth","actions","tentacle","触手","weapon-attack","complex","dm-adjudication","dm-adjudication","manual","原文骰池 1d12 未进入结构","src/rulesets/dnd5e/monsterHeadlessSafetyPolicy.test.ts | src/rulesets/dnd5e/monsterResourceActions.test.ts | src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:aboleth","底栖魔鱼","aboleth","actions","tail","尾击","weapon-attack","simple-attack","headless","headless","verified-full","","src/lib/enemyStatBlocks.test.ts | src/rulesets/dnd5e/combatSimulation.test.ts | src/rulesets/dnd5e/legendaryActionWindow.test.ts | src/rulesets/dnd5e/monsterAttackAction.test.ts | src/rulesets/dnd5e/monsterResourceActions.test.ts | src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:aboleth","底栖魔鱼","aboleth","actions","enslave","奴役","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/combatSimulation.test.ts | src/rulesets/dnd5e/monsterResourceActions.test.ts"
"srd-5.1:aboleth","底栖魔鱼","aboleth","legendaryActions","detect","侦测","other","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterResourceActions.test.ts | src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:aboleth","底栖魔鱼","aboleth","legendaryActions","tail-swipe","扫尾","weapon-attack","simple-attack","headless","headless","verified-full","","src/lib/enemyStatBlocks.test.ts | src/rulesets/dnd5e/legendaryActionWindow.test.ts | src/rulesets/dnd5e/monsterAttackAction.test.ts | src/rulesets/dnd5e/monsterResourceActions.test.ts"
"srd-5.1:aboleth","底栖魔鱼","aboleth","legendaryActions","psychic-drain-costs-2-actions","心灵汲取（消耗 2 动作）","other","complex","headless","headless","verified-full","","src/lib/enemyStatBlocks.test.ts | src/rulesets/dnd5e/monsterResourceActions.test.ts"
"srd-5.1:acolyte","侍僧","acolyte","actions","club","木棒","weapon-attack","simple-attack","headless","headless","verified-full","","src/rulesets/dnd5e/monsters.test.ts"
"srd-5.1:adult-black-dragon","成年黑龙","adult-black-dragon","actions","multiattack","多重攻击","multiattack","complex","headless","headless","verified-full","","src/rulesets/dnd5e/monsterCompositeMultiattack.test.ts | src/rulesets/dnd5e/monsterResourceActions.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts"
"srd-5.1:adult-black-dragon","成年黑龙","adult-black-dragon","actions","bite","啃咬","weapon-attack","simple-attack","headless","headless","verified-full","","src/rulesets/dnd5e/monsterCompositeMultiattack.test.ts | src/rulesets/dnd5e/monsterGenericAbilities.test.ts | src/rulesets/dnd5e/monsterResourceActions.test.ts | src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/monsterTurnPlanner.test.ts"
