monsterId,monster,slug,spellId,spell,spellAuditStatus,status,issues
"srd-5.1:acolyte","侍僧","acolyte","light","光亮术","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:acolyte","侍僧","acolyte","sacred-flame","圣火术","verified-full","verified-full",""
"srd-5.1:acolyte","侍僧","acolyte","thaumaturgy","奇术","verified-full","semantic-gap","效果类型 narrative-effect 尚未进入怪物核心施法白名单"
"srd-5.1:acolyte","侍僧","acolyte","bless","祝福术","verified-full","semantic-gap","包含持续、专注或命中附带效果"
"srd-5.1:acolyte","侍僧","acolyte","cure-wounds","疗伤术","verified-full","verified-full",""
"srd-5.1:acolyte","侍僧","acolyte","sanctuary","庇护术","verified-full","verified-full",""
"srd-5.1:androsphinx","雄性斯芬克斯","androsphinx","sacred-flame","圣火术","verified-full","verified-full",""
"srd-5.1:androsphinx","雄性斯芬克斯","androsphinx","spare-the-dying","维生术","verified-full","verified-full",""
"srd-5.1:androsphinx","雄性斯芬克斯","androsphinx","thaumaturgy","奇术","verified-full","semantic-gap","效果类型 narrative-effect 尚未进入怪物核心施法白名单"
"srd-5.1:androsphinx","雄性斯芬克斯","androsphinx","command","命令术","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:androsphinx","雄性斯芬克斯","androsphinx","detect-evil-and-good","侦测善恶","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:androsphinx","雄性斯芬克斯","androsphinx","detect-magic","侦测魔法","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:androsphinx","雄性斯芬克斯","androsphinx","lesser-restoration","次级复原术","verified-full","verified-full",""
"srd-5.1:androsphinx","雄性斯芬克斯","androsphinx","zone-of-truth","诚实之域","partial","semantic-gap","继承法术结论：partial | No core Headless spell definition."
"srd-5.1:androsphinx","雄性斯芬克斯","androsphinx","dispel-magic","解除魔法","verified-full","verified-full",""
"srd-5.1:androsphinx","雄性斯芬克斯","androsphinx","tongues","巧言术","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:androsphinx","雄性斯芬克斯","androsphinx","banishment","放逐术","verified-full","verified-full",""
"srd-5.1:androsphinx","雄性斯芬克斯","androsphinx","freedom-of-movement","行动自如","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:androsphinx","雄性斯芬克斯","androsphinx","flame-strike","焰击术","verified-full","semantic-gap","包含多种伤害分量"
"srd-5.1:androsphinx","雄性斯芬克斯","androsphinx","greater-restoration","高等复原术","verified-full","semantic-gap","No core Headless spell definition."
"srd-5.1:androsphinx","雄性斯芬克斯","androsphinx","heroes-feast","英雄宴","verified-full","semantic-gap","No core Headless spell definition."
