monsterId,monster,slug,traitIndex,trait,sourceTrait,declaredAutomation,ruleKind,battleImpact,status,issues,runtimeConsumers,directTests
"srd-5.1:aboleth","底栖魔鱼","aboleth","0","两栖","Amphibious","dm-adjudication","","false","non-combat-or-narrative","","",""
"srd-5.1:aboleth","底栖魔鱼","aboleth","1","黏液云","Mucous Cloud","headless","mucous-cloud","true","verified-full","","src/rulesets/dnd5e/headlessCombatEngine.ts | src/rulesets/dnd5e/tokenStatusMarkers.ts","src/rulesets/dnd5e/monsters.test.ts | src/rulesets/dnd5e/tokenStatusMarkers.test.ts"
"srd-5.1:aboleth","底栖魔鱼","aboleth","2","探查心灵感应","Probing Telepathy","dm-adjudication","","false","non-combat-or-narrative","","",""
"srd-5.1:acolyte","侍僧","acolyte","0","施法","Spellcasting","dm-adjudication","","true","delegated-to-monster-spells","","",""
"srd-5.1:adult-black-dragon","成年黑龙","adult-black-dragon","0","两栖","Amphibious","dm-adjudication","","false","non-combat-or-narrative","","",""
"srd-5.1:adult-black-dragon","成年黑龙","adult-black-dragon","1","传奇抗性","Legendary Resistance","headless","legendary-resistance","true","verified-full","","src/lib/combatInterruptProtocol.ts | src/lib/combatInterruptQueue.ts | src/lib/sharedResourceValidation.ts | src/pages/MapsWorkspacePage.tsx | src/rulesets/dnd5e/monsterGenericAbilities.ts","src/lib/sharedServerCore.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterLegendaryResistanceTraits.test.ts"
"srd-5.1:adult-blue-dragon","成年蓝龙","adult-blue-dragon","0","传奇抗性","Legendary Resistance","headless","legendary-resistance","true","verified-full","","src/lib/combatInterruptProtocol.ts | src/lib/combatInterruptQueue.ts | src/lib/sharedResourceValidation.ts | src/pages/MapsWorkspacePage.tsx | src/rulesets/dnd5e/monsterGenericAbilities.ts","src/lib/sharedServerCore.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterLegendaryResistanceTraits.test.ts"
"srd-5.1:adult-brass-dragon","成年黄铜龙","adult-brass-dragon","0","传奇抗性","Legendary Resistance","headless","legendary-resistance","true","verified-full","","src/lib/combatInterruptProtocol.ts | src/lib/combatInterruptQueue.ts | src/lib/sharedResourceValidation.ts | src/pages/MapsWorkspacePage.tsx | src/rulesets/dnd5e/monsterGenericAbilities.ts","src/lib/sharedServerCore.test.ts | src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/rulesets/dnd5e/monsterLegendaryResistanceTraits.test.ts"
"srd-5.1:adult-bronze-dragon","成年青铜龙","adult-bronze-dragon","0","两栖","Amphibious","dm-adjudication","","false","non-combat-or-narrative","","",""
"srd-5.1:adult-bronze-dragon","成年青铜龙","adult-bronze-dragon","1","传奇抗性","Legendary Resistance","headless","legendary-resistance","true","verified-full","","src/lib/combatInterruptProtocol.ts | src/lib/combatInterruptQueue.ts | src/lib/sharedResourceValidation.ts | src/pages/MapsWorkspacePage.tsx | src/rulesets/dnd5e/monsterGenericAbilities.ts","src/rulesets/dnd5e/headlessCombatEngine.test.ts | src/lib/sharedServerCore.test.ts | src/rulesets/dnd5e/monsterLegendaryResistanceTraits.test.ts"
